scenario,replication,t_end,h,model,RMSE,MAE,ISE
regime_change,48,125,10,PM,0.4281133120927924,0.36806211038663866,0.18328100799106067
regime_change,48,125,10,PA,0.254224057481606,0.2144509117219044,0.06462987140241092
regime_change,48,125,10,VAR1,0.24075213315327176,0.20140817754626314,0.057961589617850695
regime_change,48,125,10,ARHinc,0.24801966906502462,0.2087830092852316,0.061513756243124336
regime_change,48,125,10,KernelARH,0.2407560651180097,0.20130172274553546,0.05796348289110733
regime_change,48,126,1,PM,0.2971775360474004,0.24828480746513865,0.08831448793120396
regime_change,48,126,1,PA,0.26672431691838877,0.21875197759392861,0.07114186123558108
regime_change,48,126,1,VAR1,0.27153456223117145,0.21898935941700695,0.07373101848607393
regime_change,48,126,1,ARHinc,0.25824435677220536,0.21216217772221418,0.06669014780469008
regime_change,48,126,1,KernelARH,0.267862060991142,0.21586446799575965,0.07175008371842227
regime_change,48,126,5,PM,0.3057657907773683,0.23853352059607144,0.09349271880970937
regime_change,48,126,5,PA,0.3332689737341495,0.25365331402745045,0.11106820885381322
regime_change,48,126,5,VAR1,0.33786985199709785,0.25966039984547223,0.1141560368885408
regime_change,48,126,5,ARHinc,0.3320004749003055,0.2534186289100529,0.11022431533402838
regime_change,48,126,5,KernelARH,0.33834238333687816,0.26003814855901497,0.11447556836207899
regime_change,48,126,10,PM,0.38018798286956373,0.3142426230576134,0.1445429023184277
regime_change,48,126,10,PA,0.32470343048544487,0.26357436467770723,0.10543231776901611
regime_change,48,126,10,VAR1,0.3090925976294793,0.2498231757271874,0.09553823390933922
regime_change,48,126,10,ARHinc,0.32580599641751257,0.2642281414673328,0.1061495473016082
regime_change,48,126,10,KernelARH,0.308554000223271,0.24937934156893457,0.09520557105378231
regime_change,48,127,1,PM,0.32472128493341335,0.24823007233907388,0.10544391288880703
regime_change,48,127,1,PA,0.3211355772052172,0.23232671896771026,0.103128058946928
regime_change,48,127,1,VAR1,0.3245229378390828,0.23583503356460456,0.10531513718370922
regime_change,48,127,1,ARHinc,0.32391910681768904,0.23390331756819627,0.10492358776156943
regime_change,48,127,1,KernelARH,0.32407399464143616,0.23609905599555145,0.1050239540028576
regime_change,48,127,5,PM,0.30068538889425117,0.20364811648504494,0.09041170309448705
regime_change,48,127,5,PA,0.3647007656396927,0.24606618490334076,0.13300664845817808
regime_change,48,127,5,VAR1,0.3733297506398784,0.2521659869798445,0.1393751027128338
regime_change,48,127,5,ARHinc,0.3697277514775682,0.24786479451708301,0.13669861021265842
regime_change,48,127,5,KernelARH,0.37380403642319027,0.25249294968289876,0.13972945764626976
regime_change,48,127,10,PM,0.4064740320241627,0.33332084951794344,0.16522113870998006
regime_change,48,127,10,PA,0.2721083999095279,0.2191716775811035,0.07404298130132356
regime_change,48,127,10,VAR1,0.2642587131348037,0.21339652707342913,0.06983266746766248
regime_change,48,127,10,ARHinc,0.26991447674447067,0.21785503079789892,0.07285382475624139
regime_change,48,127,10,KernelARH,0.26411590437131083,0.21329616418549308,0.06975721094187541
regime_change,48,128,1,PM,0.3947326735839143,0.31541249257670034,0.15581388359470502
regime_change,48,128,1,PA,0.29815459614020157,0.2224127166745796,0.08889616319952671
regime_change,48,128,1,VAR1,0.307404375269339,0.2430018176696874,0.0944974499347326
regime_change,48,128,1,ARHinc,0.2892391383137413,0.22000575563636626,0.08365927913247559
regime_change,48,128,1,KernelARH,0.30505537182799436,0.240533590487248,0.09305877988111588
regime_change,48,128,5,PM,0.40300189111075185,0.3129895182105578,0.16241052423884228
regime_change,48,128,5,PA,0.300825172200232,0.22670125422527437,0.09049578422929924
regime_change,48,128,5,VAR1,0.3149241924147044,0.24249910193535895,0.09917724696805373
regime_change,48,128,5,ARHinc,0.29822661623990976,0.22488133439486707,0.0889391146339064
regime_change,48,128,5,KernelARH,0.315459153061443,0.2431087567310803,0.09951447725024294
regime_change,48,128,10,PM,0.4687060165217902,0.3485218822299113,0.2196853299237247
regime_change,48,128,10,PA,0.25920740645118323,0.18806152974299567,0.0671884795591489
regime_change,48,128,10,VAR1,0.255935102812446,0.181197187565327,0.0655027768516173
regime_change,48,128,10,ARHinc,0.2636752746443259,0.18994508381233244,0.06952465045876068
regime_change,48,128,10,KernelARH,0.255363790697201,0.18077662250693433,0.06521066559924389
regime_change,48,129,1,PM,0.2910529223769168,0.23837053664353922,0.08471180362414356
regime_change,48,129,1,PA,0.3501922341748271,0.27536147231850394,0.12263460087635694
regime_change,48,129,1,VAR1,0.33502144609030937,0.26329160978814525,0.11223936934044207
regime_change,48,129,1,ARHinc,0.3378018180230687,0.266880353726242,0.1141100682596904
regime_change,48,129,1,KernelARH,0.3423603523982041,0.26783689925335835,0.11721061089422251
regime_change,48,129,5,PM,0.2877906752772944,0.23184139462940873,0.0828234727765611
regime_change,48,129,5,PA,0.3252733301617826,0.2732054957318239,0.10580273931453606
regime_change,48,129,5,VAR1,0.32136503448684134,0.2688229788610655,0.10327548539072873
regime_change,48,129,5,ARHinc,0.3155393937832559,0.26661413516898846,0.09956510902910463
regime_change,48,129,5,KernelARH,0.32188503259487994,0.2693405258333854,0.10360997420860692
regime_change,48,129,10,PM,0.317900620154228,0.25028413940308797,0.10106080429444274
regime_change,48,129,10,PA,0.2723015688063062,0.207156326202938,0.07414814437437549
regime_change,48,129,10,VAR1,0.26494190266866074,0.20345683620889948,0.07019421178969011
regime_change,48,129,10,ARHinc,0.2623976212159854,0.20049922269526757,0.06885251161980775
regime_change,48,129,10,KernelARH,0.2651681730627949,0.20370609989396013,0.07031416000546033
regime_change,48,130,1,PM,0.29510908313156636,0.22230695080789684,0.08708937094675374
regime_change,48,130,1,PA,0.3227534295253609,0.24521514309720757,0.10416977627038211
regime_change,48,130,1,VAR1,0.33916523620726075,0.26065127215754624,0.11503305745152696
regime_change,48,130,1,ARHinc,0.33214215599632163,0.2574827434881433,0.11031841178988486
regime_change,48,130,1,KernelARH,0.3300973196021986,0.25380319164292675,0.10896424040855605
regime_change,48,130,5,PM,0.3552312017105819,0.3017542897373207,0.12618920666874414
regime_change,48,130,5,PA,0.22329115029779173,0.1849546572308186,0.04985893780131102
regime_change,48,130,5,VAR1,0.23154710440175205,0.19413253654683382,0.05361406155683586
regime_change,48,130,5,ARHinc,0.22969438181962365,0.19205560857576476,0.05275950903949905
regime_change,48,130,5,KernelARH,0.2314838543695125,0.19401245442528314,0.05358477483376567
regime_change,48,130,10,PM,0.321721542346953,0.25414036427427095,0.10350475081010227
regime_change,48,130,10,PA,0.20948262268885268,0.1644277841054675,0.043882969208600214
regime_change,48,130,10,VAR1,0.2097898242078708,0.16436256590532153,0.044011770341169335
regime_change,48,130,10,ARHinc,0.20979937667829412,0.1651821956667612,0.044015778454600744
regime_change,48,130,10,KernelARH,0.21008917434724478,0.16461837200696233,0.04413746117790702
regime_change,48,131,1,PM,0.26435149340980524,0.1995040093341659,0.0698817120679943
regime_change,48,131,1,PA,0.37233135928179084,0.24701320636765767,0.13863064110462603
regime_change,48,131,1,VAR1,0.37494090278444,0.25408516618070204,0.14058068058081086
regime_change,48,131,1,ARHinc,0.3701370726902977,0.2469325643828484,0.13700145257974275
regime_change,48,131,1,KernelARH,0.36521318435891087,0.24552712921543413,0.13338067002957582
regime_change,48,131,5,PM,0.5418434611090341,0.4200562513770575,0.2935943363466174
regime_change,48,131,5,PA,0.34957475090420365,0.28371762601965594,0.12220250646973603
regime_change,48,131,5,VAR1,0.32246718241637795,0.25990132931901444,0.10398508373555757
regime_change,48,131,5,ARHinc,0.33844948462542396,0.27432971062390527,0.1145480536432151
regime_change,48,131,5,KernelARH,0.3220890065370507,0.2595670231204662,0.10374132813202429
regime_change,48,131,10,PM,0.3534350341997518,0.2773561402713994,0.12491632339977972
regime_change,48,131,10,PA,0.18450897152819207,0.14745401471353725,0.03404356057439119
regime_change,48,131,10,VAR1,0.17871517113443108,0.13896378720079,0.031939112393608984
regime_change,48,131,10,ARHinc,0.178386608995648,0.1415223513632659,0.0318217822689662
regime_change,48,131,10,KernelARH,0.17857390125374978,0.1389705598441623,0.03188863820898397
regime_change,48,132,1,PM,0.29322260817293605,0.22386820957303966,0.08597949794373919
regime_change,48,132,1,PA,0.30591591141231445,0.23220461343799553,0.09358454485522702
regime_change,48,132,1,VAR1,0.30933098194925984,0.23621936039272157,0.09568565639369332
regime_change,48,132,1,ARHinc,0.3051933358740145,0.2302647130612498,0.093142972261909
regime_change,48,132,1,KernelARH,0.3076943553537943,0.23460886515804513,0.09467581631658704
regime_change,48,132,5,PM,0.48419670162528305,0.3391375365299073,0.2344464458648034
regime_change,48,132,5,PA,0.26560234288021434,0.21381141274993667,0.07054460454345896
regime_change,48,132,5,VAR1,0.2653240161994045,0.21343937164559448,0.07039683357218186
regime_change,48,132,5,ARHinc,0.26858647504682004,0.21633239897444936,0.07213869457807609
regime_change,48,132,5,KernelARH,0.2652090728206987,0.21337553986544203,0.07033585230641469
regime_change,48,132,10,PM,0.42072408884427104,0.27991288849235446,0.17700875893384208
regime_change,48,132,10,PA,0.19047927779652107,0.15507174605358787,0.03628235526988425
regime_change,48,132,10,VAR1,0.19136616175396692,0.1552358094993815,0.036621007864445436
regime_change,48,132,10,ARHinc,0.19119375953498924,0.15638030708059322,0.03655505368512329
regime_change,48,132,10,KernelARH,0.19138558130337818,0.1552991289740395,0.03662844073083198
regime_change,48,133,1,PM,0.24237766582845346,0.19032570698377022,0.05874693289244946
regime_change,48,133,1,PA,0.3073555103592414,0.2528714387497468,0.09446740974818976
regime_change,48,133,1,VAR1,0.3168132678457048,0.2644470206868153,0.10037064668307427
regime_change,48,133,1,ARHinc,0.3108689058782338,0.2580513615607696,0.09663947664193016
regime_change,48,133,1,KernelARH,0.3146673857399048,0.2635462922379022,0.09901556364838607
regime_change,48,133,5,PM,0.429304182783488,0.3363356402217273,0.18430208135539844
regime_change,48,133,5,PA,0.2707205880325758,0.19193235315169052,0.07328963678470363
regime_change,48,133,5,VAR1,0.2620300265865496,0.18433100970071561,0.06865973483294789
regime_change,48,133,5,ARHinc,0.2668681376700799,0.1884556041429748,0.0712186029034967
regime_change,48,133,5,KernelARH,0.2616567820723663,0.1840906797415279,0.06846427160446579
regime_change,48,133,10,PM,0.30398448604158695,0.24145745361363113,0.09240656775396776
regime_change,48,133,10,PA,0.15475179282116358,0.11717986822829542,0.023948117381364334
regime_change,48,133,10,VAR1,0.15183208525466066,0.11776270029035031,0.02305298211277854
regime_change,48,133,10,ARHinc,0.15315289223084533,0.11649517127708231,0.023455808398672923
regime_change,48,133,10,KernelARH,0.15178925213533906,0.11778532820271666,0.023039977063805533
regime_change,48,134,1,PM,0.2883384803577118,0.2201253611881181,0.08313907925499456
regime_change,48,134,1,PA,0.22119937940655218,0.1822999558244004,0.04892916544984382
regime_change,48,134,1,VAR1,0.21473763478527932,0.17866925815588974,0.046112251793176004
regime_change,48,134,1,ARHinc,0.21597888126384832,0.17983503724853622,0.046646877151983485
regime_change,48,134,1,KernelARH,0.22456023206871722,0.18871326534069244,0.05042729782675613
regime_change,48,134,5,PM,0.2505690476651248,0.19447257480262087,0.06278484764780756
regime_change,48,134,5,PA,0.2499875930813706,0.19501395675428002,0.06249379669461694
regime_change,48,134,5,VAR1,0.25653595960051717,0.19626057824564883,0.06581069856815817
regime_change,48,134,5,ARHinc,0.24846654268168877,0.19113208931378972,0.061735622832191465
regime_change,48,134,5,KernelARH,0.2566358379250296,0.1964366533392484,0.06586195330748205
regime_change,48,134,10,PM,0.32240273783420575,0.27125207480878893,0.1039435253629916
