scenario,replication,h,model,RMSE,MAE,ISE
strong_persistence,262,1,KernelARH,0.22782090110345418,0.18680073195528454,0.062363096413336705
strong_persistence,262,1,PA,0.22357431449146828,0.18336225859987096,0.060592840658558106
strong_persistence,262,1,PM,0.1091512317144154,0.08489706375057778,0.012355164602287414
strong_persistence,262,1,VAR1,0.22895843996140336,0.18778788391936202,0.0625888567862806
strong_persistence,262,5,ARHinc,0.23091317450650944,0.18962534886622232,0.06380143340753265
strong_persistence,262,5,KernelARH,0.2331486143340248,0.19131886501174483,0.06409858150563245
strong_persistence,262,5,PA,0.23183120697952547,0.19019582590629608,0.06433144547520364
strong_persistence,262,5,PM,0.1577114633926697,0.1218355706065829,0.027653201940749876
strong_persistence,262,5,VAR1,0.23325134719380194,0.19140381885033123,0.06415781781483995
strong_persistence,262,10,ARHinc,0.23299310375791815,0.19126215747623768,0.06121129844274348
strong_persistence,262,10,KernelARH,0.23625776661985134,0.1939722428594967,0.0627098144537683
strong_persistence,262,10,PA,0.233767611971318,0.19176250567546135,0.06169301560346957
strong_persistence,262,10,PM,0.18100850549849568,0.14030251107975494,0.036412794019922465
strong_persistence,262,10,VAR1,0.2363844526684813,0.1940727896299816,0.06277540335179786
strong_persistence,263,1,ARHinc,0.17628439695252388,0.1399164906985546,0.033378386952763434
strong_persistence,263,1,KernelARH,0.18099072614264008,0.1437819165488994,0.035192424446341145
strong_persistence,263,1,PA,0.17675025183777016,0.14035998695170368,0.03365336986596776
strong_persistence,263,1,PM,0.10724302315145669,0.08371210419933144,0.011940529423850113
strong_persistence,263,1,VAR1,0.1798171316873875,0.1429103662527959,0.034861202738220104
strong_persistence,263,5,ARHinc,0.18215813268352135,0.14482954401799672,0.035848018520742715
strong_persistence,263,5,KernelARH,0.1852942824667385,0.147193859650239,0.03691855406976366
strong_persistence,263,5,PA,0.18332952564024627,0.14572598113716173,0.03636525839508525
strong_persistence,263,5,PM,0.15923736443400388,0.11841016472076621,0.0272026247907172
strong_persistence,263,5,VAR1,0.18508082036080115,0.1470095387189347,0.03683204038564058
strong_persistence,263,10,ARHinc,0.18081874096010378,0.14325524925214297,0.035279663200095165
strong_persistence,263,10,KernelARH,0.18481923350609028,0.14641242314647057,0.03671281644153005
strong_persistence,263,10,PA,0.18146388869799673,0.14380036587666153,0.03558850406030708
strong_persistence,263,10,PM,0.1831585494035373,0.13420893777462423,0.03615809312556942
strong_persistence,263,10,VAR1,0.18461257378854898,0.14623176219501666,0.03663502663555873
strong_persistence,264,1,ARHinc,0.19791517161215452,0.1605123952760604,0.04801992883206861
strong_persistence,264,1,KernelARH,0.2012073598037142,0.1631647852194595,0.050190917201035266
strong_persistence,264,1,PA,0.19927263144789978,0.1614521621187459,0.04857829047451026
strong_persistence,264,1,PM,0.10730801427948695,0.08339888381837145,0.011786909495501114
strong_persistence,264,1,VAR1,0.20107708183500095,0.16307667588816716,0.050089217751507924
strong_persistence,264,5,ARHinc,0.2083967738321759,0.16910249070888317,0.05366765479922891
strong_persistence,264,5,KernelARH,0.21113507961393882,0.17120228931225964,0.055392769854323474
strong_persistence,264,5,PA,0.20999875193247988,0.17036704853495663,0.05429676338326341
strong_persistence,264,5,PM,0.15418636932025168,0.11908980148878857,0.025459231503851
strong_persistence,264,5,VAR1,0.21105471627787292,0.17113873335883856,0.055306018099097874
strong_persistence,264,10,ARHinc,0.22163869305224335,0.17991482089263547,0.0615072933848545
strong_persistence,264,10,KernelARH,0.223302677201585,0.18104970080842592,0.06237904302604026
