moneda,fecha,PC,score,score_z
usdzar,2025-07-29,PC1,2.588400282891094,0.2963517673861878
usdzar,2025-07-30,PC1,2.191590198309814,0.2509200887313787
usdzar,2025-07-31,PC1,2.530348238320314,0.2897052582961344
usdzar,2025-08-01,PC1,-0.11930543502834504,-0.013659547467649708
usdzar,2025-08-04,PC1,-5.67057991754998,-0.6492374428245525
usdzar,2025-08-05,PC1,-3.209928829234994,-0.367511967919103
usdzar,2025-08-06,PC1,-2.4472334594202447,-0.28018926040904
usdzar,2025-08-07,PC1,-2.771551479845164,-0.31732115966874913
usdzar,2025-08-08,PC1,-3.280542438624746,-0.37559667880500863
usdzar,2025-08-11,PC1,-6.430608828449376,-0.7362548614589146
usdzar,2025-08-12,PC1,-8.806854454396401,-1.008316565225437
usdzar,2025-08-13,PC1,-7.9014006832227235,-0.9046491274077838
usdzar,2025-08-14,PC1,-6.172730638653435,-0.7067298077716934
usdzar,2025-08-15,PC1,-6.325906612374577,-0.7242672693588396
usdzar,2025-08-18,PC1,-9.177878238062592,-1.0507959123181418
usdzar,2025-08-19,PC1,-9.191212758594194,-1.0523226115512194
usdzar,2025-08-20,PC1,-8.495779892798968,-0.9727009393395848
usdzar,2025-08-21,PC1,-8.118015157169935,-0.9294498055022802
usdzar,2025-08-22,PC1,-6.638049932507204,-0.7600052598120685
usdzar,2025-08-25,PC1,-8.465359705808234,-0.9692180637432134
usdzar,2025-08-26,PC1,-8.051992472854037,-0.9218907199489659
usdzar,2025-08-27,PC1,-7.3323755681577705,-0.8395001627552703
usdzar,2025-08-28,PC1,-8.30477661843196,-0.9508325450617152
usdzar,2025-08-29,PC1,-4.354787283197394,-0.4985893860763206
usdzar,2025-09-01,PC1,-5.05255089111558,-0.5784779101933679
usdzar,2025-09-02,PC1,-1.6631506693510718,-0.19041785907286204
usdzar,2025-09-03,PC1,0.08736627275866846,0.010002760976774237
usdzar,2025-09-04,PC1,2.88890873767191,0.3307576559488782
usdzar,2025-09-05,PC1,-2.4619794486620328,-0.28187756186787793
usdzar,2025-09-08,PC1,-4.3038440724514535,-0.4927567833522844
usdzar,2025-09-09,PC1,-5.414852756223129,-0.6199586652224973
usdzar,2025-09-10,PC1,-4.9016152344291575,-0.5611969475399968
usdzar,2025-09-11,PC1,-2.762143020249408,-0.3162439639784173
usdzar,2025-09-12,PC1,-3.9323250236800047,-0.45022073224427006
usdzar,2025-09-15,PC1,-4.401930289668833,-0.5039868948697073
usdzar,2025-09-16,PC1,-3.6622396053098054,-0.41929804551443933
usdzar,2025-09-17,PC1,-3.5630864439451013,-0.4079457771629858
usdzar,2025-09-18,PC1,-10.093867957546165,-1.1556696345437227
usdzar,2025-09-19,PC1,-8.468260842153272,-0.9695502213654186
usdzar,2025-09-22,PC1,-10.500806865606863,-1.2022609849693584
usdzar,2025-09-23,PC1,-8.620389303006109,-0.9869677508493525
usdzar,2025-09-24,PC1,-7.377432350997057,-0.8446588151149602
usdzar,2025-09-25,PC1,-5.990153681993186,-0.6858261615513253
usdzar,2025-09-26,PC1,-4.089758227912785,-0.4682456137233988
usdzar,2025-09-29,PC1,-6.634524669966878,-0.759601644578663
usdzar,2025-09-30,PC1,-4.837844841933902,-0.5538957319406185
usdzar,2025-10-01,PC1,-3.2723418385178955,-0.3746577736629577
usdzar,2025-10-02,PC1,-2.410493818292124,-0.2759828563016769
usdzar,2025-10-03,PC1,-3.0637357801080936,-0.35077399706710566
usdzar,2025-10-06,PC1,-5.205801358915495,-0.5960239007750634
usdzar,2025-10-07,PC1,-5.129449022747065,-0.5872821501590012
usdzar,2025-10-08,PC1,-4.165071106051461,-0.4768683544528226
